origin_station_complex_name,day_of_week,hour_of_day,avg(sum_estimated_average_ridership)
"103 St (C,B)",Friday,1,3.6583583333333336
"103 St (C,B)",Friday,2,2.2666333333333335
"103 St (C,B)",Friday,3,2.7415333333333334
"103 St (C,B)",Friday,4,8.879658333333333
"103 St (C,B)",Friday,5,26.011233333333333
"103 St (C,B)",Friday,6,89.53164166666664
"103 St (C,B)",Friday,7,248.56018333333336
"103 St (C,B)",Friday,8,339.23875000000004
"103 St (C,B)",Friday,9,240.54096666666666
"103 St (C,B)",Friday,10,174.58779166666667
"103 St (C,B)",Friday,11,165.32990833333335
"103 St (C,B)",Friday,12,174.16096666666667
"103 St (C,B)",Friday,13,178.80138333333335
"103 St (C,B)",Friday,14,200.91268333333332
"103 St (C,B)",Friday,15,228.9857916666667
"103 St (C,B)",Friday,16,255.29060833333335
"103 St (C,B)",Friday,17,270.3769916666667
"103 St (C,B)",Friday,18,239.8906666666666
"103 St (C,B)",Friday,19,168.75061666666667
"103 St (C,B)",Friday,20,119.7172
"103 St (C,B)",Friday,21,81.471175
"103 St (C,B)",Friday,22,57.125575
"103 St (C,B)",Friday,23,38.91285
"103 St (C,B)",Monday,0,9.992208333333332
"103 St (C,B)",Monday,1,3.29565
"103 St (C,B)",Monday,2,2.6291333333333333
"103 St (C,B)",Monday,3,3.787383333333333
"103 St (C,B)",Monday,4,6.708441666666668
"103 St (C,B)",Monday,5,27.303325000000005
"103 St (C,B)",Monday,6,91.17875833333333
"103 St (C,B)",Monday,7,258.6363916666667
"103 St (C,B)",Monday,8,380.755525
"103 St (C,B)",Monday,9,235.789225
"103 St (C,B)",Monday,10,166.45066666666668
"103 St (C,B)",Monday,11,151.94505833333335
"103 St (C,B)",Monday,12,156.1002
"103 St (C,B)",Monday,13,155.23416666666665
"103 St (C,B)",Monday,14,169.67215
"103 St (C,B)",Monday,15,212.53188333333333
"103 St (C,B)",Monday,16,231.6915083333333
"103 St (C,B)",Monday,17,230.94079166666668
"103 St (C,B)",Monday,18,176.29459999999997
"103 St (C,B)",Monday,19,109.24644166666667
"103 St (C,B)",Monday,20,70.24111666666667
"103 St (C,B)",Monday,21,41.08159166666666
"103 St (C,B)",Monday,22,28.082725
"103 St (C,B)",Monday,23,16.537783333333334
"103 St (C,B)",Saturday,0,18.429783333333337
"103 St (C,B)",Saturday,1,7.696008333333334
"103 St (C,B)",Saturday,2,4.016591666666667
"103 St (C,B)",Saturday,3,4.46235
"103 St (C,B)",Saturday,4,7.270991666666666
"103 St (C,B)",Saturday,5,11.908591666666666
"103 St (C,B)",Saturday,6,30.628975
"103 St (C,B)",Saturday,7,57.67861666666667
"103 St (C,B)",Saturday,8,95.69466666666666
"103 St (C,B)",Saturday,9,147.9073
"103 St (C,B)",Saturday,10,156.50905
"103 St (C,B)",Saturday,11,179.168575
"103 St (C,B)",Saturday,12,184.58214999999998
"103 St (C,B)",Saturday,13,184.16329166666665
"103 St (C,B)",Saturday,14,171.50755833333332
"103 St (C,B)",Saturday,15,164.2198
"103 St (C,B)",Saturday,16,161.72109166666667
"103 St (C,B)",Saturday,17,168.49219999999997
"103 St (C,B)",Saturday,18,165.61893333333333
"103 St (C,B)",Saturday,19,137.35915833333334
"103 St (C,B)",Saturday,20,97.23013333333331
"103 St (C,B)",Saturday,21,74.46515
"103 St (C,B)",Saturday,22,55.086725
"103 St (C,B)",Saturday,23,42.76249166666667
"103 St (C,B)",Sunday,0,17.67899166666667
"103 St (C,B)",Sunday,1,7.275041666666667
"103 St (C,B)",Sunday,2,4.806733333333334
"103 St (C,B)",Sunday,3,4.7000166666666665
"103 St (C,B)",Sunday,4,5.083308333333334
"103 St (C,B)",Sunday,5,11.050350000000002
"103 St (C,B)",Sunday,6,23.985175
"103 St (C,B)",Sunday,7,41.49783333333333
"103 St (C,B)",Sunday,8,93.88415833333335
"103 St (C,B)",Sunday,9,130.072375
"103 St (C,B)",Sunday,10,158.0058333333333
"103 St (C,B)",Sunday,11,165.04270833333334
"103 St (C,B)",Sunday,12,179.96098333333336
"103 St (C,B)",Sunday,13,162.40760833333331
"103 St (C,B)",Sunday,14,158.88406666666668
"103 St (C,B)",Sunday,15,146.46363333333335
"103 St (C,B)",Sunday,16,140.53025833333334
"103 St (C,B)",Sunday,17,134.950425
"103 St (C,B)",Sunday,18,119.13680833333335
"103 St (C,B)",Sunday,19,86.44619166666666
"103 St (C,B)",Sunday,20,58.77466666666666
"103 St (C,B)",Sunday,21,42.59925833333333
"103 St (C,B)",Sunday,22,29.749958333333336
"103 St (C,B)",Sunday,23,20.679391666666664
"103 St (C,B)",Thursday,0,9.938116666666668
"103 St (C,B)",Thursday,1,2.9123583333333336
"103 St (C,B)",Thursday,2,2.5666666666666664
"103 St (C,B)",Thursday,3,2.81245
"103 St (C,B)",Thursday,4,8.633408333333334
"103 St (C,B)",Thursday,5,27.398458333333338
"103 St (C,B)",Thursday,6,102.64800000000001
"103 St (C,B)",Thursday,7,291.9092083333334
"103 St (C,B)",Thursday,8,452.15586666666667
"103 St (C,B)",Thursday,9,288.32299166666667
"103 St (C,B)",Thursday,10,178.72440833333334
"103 St (C,B)",Thursday,11,164.62473333333332
"103 St (C,B)",Thursday,12,156.393425
"103 St (C,B)",Thursday,13,164.5173
"103 St (C,B)",Thursday,14,180.49899166666668
"103 St (C,B)",Thursday,15,225.87505000000002
"103 St (C,B)",Thursday,16,242.97470833333333
"103 St (C,B)",Thursday,17,257.32232500000003
"103 St (C,B)",Thursday,18,215.75488333333337
"103 St (C,B)",Thursday,19,137.03885833333334
"103 St (C,B)",Thursday,20,98.68849166666668
"103 St (C,B)",Thursday,21,75.81597500000001
"103 St (C,B)",Thursday,22,37.12469166666667
"103 St (C,B)",Thursday,23,23.491941666666666
"103 St (C,B)",Tuesday,0,8.150141666666666
"103 St (C,B)",Tuesday,1,2.6373833333333336
"103 St (C,B)",Tuesday,2,2.1874833333333332
"103 St (C,B)",Tuesday,3,3.0457
"103 St (C,B)",Tuesday,4,8.304283333333332
"103 St (C,B)",Tuesday,5,29.66264166666667
"103 St (C,B)",Tuesday,6,103.52739166666667
"103 St (C,B)",Tuesday,7,299.4592083333334
"103 St (C,B)",Tuesday,8,479.207725
"103 St (C,B)",Tuesday,9,284.7934666666667
"103 St (C,B)",Tuesday,10,176.34674999999996
"103 St (C,B)",Tuesday,11,155.67980833333334
