station,month,avg_ridership
155 St (C),1,129.2509142857143
155 St (C),2,132.55951845238093
155 St (C),3,129.5070386904761
155 St (C),4,124.08732380952381
155 St (C),5,128.88816964285715
155 St (C),6,129.61511369047622
155 St (C),7,125.92249172013115
155 St (C),8,111.25988441688048
155 St (C),9,130.7826273809524
155 St (C),10,139.06738511904763
155 St (C),11,116.34117083333331
155 St (C),12,123.9000375
157 St (1),1,465.4201863095237
157 St (1),2,478.78897559523807
157 St (1),3,538.5739392857145
157 St (1),4,528.7257708333334
157 St (1),5,537.9895113095238
157 St (1),6,492.2870351190476
157 St (1),7,365.25123809523814
157 St (1),8,451.9045476190474
157 St (1),9,555.7565410714285
157 St (1),10,568.1590672619047
157 St (1),11,596.5679529761906
157 St (1),12,546.8434321428572
"161 St-Yankee Stadium (B,D,4)",1,882.8348309523814
"161 St-Yankee Stadium (B,D,4)",2,938.063773809524
"161 St-Yankee Stadium (B,D,4)",3,1021.1042809523809
"161 St-Yankee Stadium (B,D,4)",4,1445.9776071428573
"161 St-Yankee Stadium (B,D,4)",5,1487.9948988095239
"161 St-Yankee Stadium (B,D,4)",6,1664.6197684523813
"161 St-Yankee Stadium (B,D,4)",7,1406.852180357143
"161 St-Yankee Stadium (B,D,4)",8,1474.7545166666669
"161 St-Yankee Stadium (B,D,4)",9,1782.582981547619
"161 St-Yankee Stadium (B,D,4)",10,1597.3184499999998
"161 St-Yankee Stadium (B,D,4)",11,1347.759263690476
"161 St-Yankee Stadium (B,D,4)",12,1241.3957119047618
163 St-Amsterdam Av (C),1,195.09846845238096
163 St-Amsterdam Av (C),2,205.1905851190476
163 St-Amsterdam Av (C),3,207.05941071428578
163 St-Amsterdam Av (C),4,200.55290059523816
163 St-Amsterdam Av (C),5,207.45017142857142
163 St-Amsterdam Av (C),6,205.68863392857148
163 St-Amsterdam Av (C),7,190.3996720238094
163 St-Amsterdam Av (C),8,181.3601505952381
163 St-Amsterdam Av (C),9,218.28550952380954
163 St-Amsterdam Av (C),10,230.63355059523812
163 St-Amsterdam Av (C),11,188.9809982142857
163 St-Amsterdam Av (C),12,202.72213273809524
167 St (4),1,359.7588952380952
167 St (4),2,389.7026220238097
167 St (4),3,393.646080952381
167 St (4),4,392.9759333333333
167 St (4),5,400.0793666666666
167 St (4),6,365.8155690476191
167 St (4),7,327.5810535714286
167 St (4),8,332.9063428571429
167 St (4),9,404.8884773809525
167 St (4),10,415.33462916666656
167 St (4),11,435.4393178571429
167 St (4),12,401.5641744047618
"167 St (B,D)",1,293.5644077380953
"167 St (B,D)",2,279.528094047619
"167 St (B,D)",3,350.16538214285697
"167 St (B,D)",4,328.75452440476187
"167 St (B,D)",5,340.49542500000007
"167 St (B,D)",6,326.49601428571424
"167 St (B,D)",7,282.0760303571428
"167 St (B,D)",8,294.670874404762
"167 St (B,D)",9,366.019825595238
"167 St (B,D)",10,375.95739702380956
"167 St (B,D)",11,342.66729166666664
"167 St (B,D)",12,355.1352511904762
"168 St (A,C,1)",1,1158.4473154761904
"168 St (A,C,1)",2,1250.6631577380952
"168 St (A,C,1)",3,1293.7822636904766
"168 St (A,C,1)",4,1229.440610119048
"168 St (A,C,1)",5,1212.4140053571427
"168 St (A,C,1)",6,1218.0436315476195
"168 St (A,C,1)",7,1058.7241494047623
"168 St (A,C,1)",8,1086.385136904762
"168 St (A,C,1)",9,1280.641799404762
"168 St (A,C,1)",10,1335.1407125
"168 St (A,C,1)",11,1263.7305625
"168 St (A,C,1)",12,1174.599029761905
169 St (F),1,346.4913077380952
169 St (F),2,369.97961130952376
169 St (F),3,401.4436285714286
169 St (F),4,387.52669880952385
169 St (F),5,395.92781428571425
169 St (F),6,373.51889285714293
169 St (F),7,361.44297380952366
169 St (F),8,357.2138226190477
169 St (F),9,418.9188357142855
169 St (F),10,421.11404285714286
169 St (F),11,396.38243154761915
169 St (F),12,390.0738577380954
170 St (4),1,276.2479916666666
170 St (4),2,296.0149041666666
170 St (4),3,324.9535333333332
170 St (4),4,323.42227083333336
170 St (4),5,326.7885547619047
170 St (4),6,307.9058535714287
170 St (4),7,270.1693154761906
170 St (4),8,283.40708035714283
170 St (4),9,360.6874845238096
170 St (4),10,359.3701172619048
170 St (4),11,358.63291011904755
170 St (4),12,316.98227559523804
"170 St (B,D)",1,198.75902499999995
"170 St (B,D)",2,194.63460654761906
"170 St (B,D)",3,245.45728511904775
"170 St (B,D)",4,228.76229642857135
"170 St (B,D)",5,241.25676904761906
"170 St (B,D)",6,224.60480059523803
"170 St (B,D)",7,182.8538202380952
"170 St (B,D)",8,189.48935535714287
"170 St (B,D)",9,247.98323154761903
"170 St (B,D)",10,278.00848214285713
"170 St (B,D)",11,237.01789404761905
"170 St (B,D)",12,242.6887095238095
"174 St (2,5)",1,221.12613690476195
"174 St (2,5)",2,234.14869940476194
"174 St (2,5)",3,266.2727654761905
"174 St (2,5)",4,245.91718035714285
"174 St (2,5)",5,235.64956190476192
"174 St (2,5)",6,219.65361190476187
"174 St (2,5)",7,173.67953273809525
"174 St (2,5)",8,192.05560535714284
"174 St (2,5)",9,238.82718928571424
"174 St (2,5)",10,275.48368928571426
"174 St (2,5)",11,270.1297630952381
"174 St (2,5)",12,262.72620892857145
"174-175 Sts (B,D)",1,155.70260238095244
"174-175 Sts (B,D)",2,153.3464870437696
"174-175 Sts (B,D)",3,188.66354166666667
"174-175 Sts (B,D)",4,173.67385952380957
"174-175 Sts (B,D)",5,181.49004642857147
"174-175 Sts (B,D)",6,177.79288452380956
"174-175 Sts (B,D)",7,156.86684166666663
"174-175 Sts (B,D)",8,159.72003095238097
"174-175 Sts (B,D)",9,189.2067041666666
"174-175 Sts (B,D)",10,202.04027142857154
"174-175 Sts (B,D)",11,184.8360732142857
"174-175 Sts (B,D)",12,181.7449869047619
175 St (A),1,476.4527690476191
175 St (A),2,506.6245755952382
175 St (A),3,509.11950654761904
175 St (A),4,522.2921595238096
175 St (A),5,537.0249577380948
175 St (A),6,525.6790857142857
175 St (A),7,452.97666726190494
175 St (A),8,473.3866970238096
175 St (A),9,547.1342232142861
175 St (A),10,565.9964607142858
175 St (A),11,492.5591619047619
175 St (A),12,497.6452773809523
176 St (4),1,208.72653095238084
176 St (4),2,233.57701428571428
176 St (4),3,231.3909904761905
176 St (4),4,228.90606845238096
176 St (4),5,233.6047916666667
176 St (4),6,237.57553392857147
176 St (4),7,201.42109464285716
176 St (4),8,203.6966464285714
176 St (4),9,254.19132202380956
176 St (4),10,259.2505625
176 St (4),11,264.10609999999986
176 St (4),12,230.9750601190476
18 Av (D),1,291.5528230111206
18 Av (D),2,302.52058392857134
18 Av (D),3,315.5786333333333
18 Av (D),4,305.24755833333336
18 Av (D),5,317.34639464285726
18 Av (D),6,314.22867499999995
18 Av (D),7,285.7355220238095
18 Av (D),8,283.1848029761905
18 Av (D),9,331.86392023809526
18 Av (D),10,341.19410059523796
18 Av (D),11,328.1080071428572
18 Av (D),12,335.90597023809516
18 Av (F),1,176.47730416666667
18 Av (F),2,154.99155833333333
18 Av (F),3,184.0677
18 Av (F),4,167.11413511904763
18 Av (F),5,180.7542107142857
18 Av (F),6,161.69656607142852
18 Av (F),7,133.96325357142857
18 Av (F),8,135.44369360208157
18 Av (F),9,166.08361011904762
18 Av (F),10,188.5498851190476
18 Av (F),11,182.5274940476191
18 Av (F),12,176.33546964285716
18 Av (N),1,245.83622440476182
18 Av (N),2,254.07288690476202
18 Av (N),3,263.0625458333333
18 Av (N),4,255.96403630952372
18 Av (N),5,263.9186529761905
18 Av (N),6,246.06957976190475
18 Av (N),7,231.5253428571429
18 Av (N),8,245.90896488095245
18 Av (N),9,270.5344208333334
18 Av (N),10,280.39080535714277
18 Av (N),11,274.72917678571423
18 Av (N),12,271.09082678571406
18 St (1),1,376.15996369047616
18 St (1),2,447.09961904761906
18 St (1),3,438.14266726190453
18 St (1),4,440.84050892857147
18 St (1),5,436.2980803571431
18 St (1),6,410.93948809523795
18 St (1),7,344.8697023809523
18 St (1),8,352.1513005952381
18 St (1),9,439.03514226190475
18 St (1),10,470.1821065476191
18 St (1),11,434.7848339285715
18 St (1),12,421.07902499999994
181 St (1),1,435.21607321428564
181 St (1),2,443.81380833333344
181 St (1),3,517.8091928571429
181 St (1),4,485.12248750000003
181 St (1),5,518.170143452381
181 St (1),6,479.1651517857141
181 St (1),7,359.29491904761903
181 St (1),8,449.2663809523809
181 St (1),9,552.9898196428571
181 St (1),10,557.303923214286
181 St (1),11,598.1538791666665
181 St (1),12,551.6555958333333
181 St (A),1,452.0287517857144
181 St (A),2,472.23978690476173
